INSERT INTO Student_Schedule VALUES(1, 'iy5071cs', 4, 4, 3, 20213);
INSERT INTO Student_Schedule VALUES(2, 'iy5071cs', 4, 76, 6, 20213);
INSERT INTO Student_Schedule VALUES(3, 'iy5071cs', 4, 29, 1, 20213);
INSERT INTO Student_Schedule VALUES(4, 'iy5071cs', 4, 1, 3, 20213);
INSERT INTO Student_Schedule VALUES(5, 'iy5071cs', 4, 26, 7, 20213);
INSERT INTO Student_Schedule VALUES(6, 'iy5071cs', 4, 27, 1, 20213);

INSERT INTO Student_Schedule VALUES(7, 'iy5071cs', 4, 30, 1, 20215);
INSERT INTO Student_Schedule VALUES(8, 'iy5071cs', 4, 59, 1, 20215);
INSERT INTO Student_Schedule VALUES(9, 'iy5071cs', 4, 2, 3, 20215);
INSERT INTO Student_Schedule VALUES(10, 'iy5071cs', 4, 3, 3, 20215);
INSERT INTO Student_Schedule VALUES(11, 'iy5071cs', 4, 6, 3, 20215);
INSERT INTO Student_Schedule VALUES(12, 'iy5071cs', 4, 60, 1, 20215);

INSERT INTO Student_Schedule VALUES(13, 'iy5071cs', 4, 8, 3, 20223);
INSERT INTO Student_Schedule VALUES(14, 'iy5071cs', 4, 28, 1, 20223);
INSERT INTO Student_Schedule VALUES(15, 'iy5071cs', 4, 10, 3, 20223);
INSERT INTO Student_Schedule VALUES(16, 'iy5071cs', 4, 12, 3, 20223);
INSERT INTO Student_Schedule VALUES(17, 'iy5071cs', 4, 14, 3, 20223);

INSERT INTO Student_Schedule VALUES(18, 'iy5071cs', 4, 33, 1, 20225);
INSERT INTO Student_Schedule VALUES(19, 'iy5071cs', 4, 53, 1, 20225);
INSERT INTO Student_Schedule VALUES(20, 'iy5071cs', 4, 16, 3, 20225);
INSERT INTO Student_Schedule VALUES(21, 'iy5071cs', 4, 19, 3, 20225);
INSERT INTO Student_Schedule VALUES(22, 'iy5071cs', 4, 21, 3, 20225);
INSERT INTO Student_Schedule VALUES(23, 'iy5071cs', 4, 23, 3, 20225);

INSERT INTO Student_Schedule VALUES(24, 'iy5071cs', 4, 51, 1, 20233);
INSERT INTO Student_Schedule VALUES(25, 'iy5071cs', 4, 31, 1, 20233);
INSERT INTO Student_Schedule VALUES(26, 'iy5071cs', 4, 24, 5, 20233);
INSERT INTO Student_Schedule VALUES(27, 'iy5071cs', 4, 24, 5, 20233);
INSERT INTO Student_Schedule VALUES(28, 'iy5071cs', 4, 49, 1, 20233);

INSERT INTO Student_Schedule VALUES(29, 'iy5071cs', 4, 24, 5, 20235);
INSERT INTO Student_Schedule VALUES(30, 'iy5071cs', 4, 81, 4, 20235);
INSERT INTO Student_Schedule VALUES(31, 'iy5071cs', 4, 47, 1, 20235);
INSERT INTO Student_Schedule VALUES(32, 'iy5071cs', 4, 54, 1, 20235);
INSERT INTO Student_Schedule VALUES(33, 'iy5071cs', 4, 81, 5, 20235);

INSERT INTO Student_Schedule VALUES(34, 'iy5071cs', 4, 24, 5, 20243);
INSERT INTO Student_Schedule VALUES(35, 'iy5071cs', 4, 81, 4, 20243);
INSERT INTO Student_Schedule VALUES(36, 'iy5071cs', 4, 40, 6, 20243);
INSERT INTO Student_Schedule VALUES(37, 'iy5071cs', 4, 81, 4, 20243);
INSERT INTO Student_Schedule VALUES(38, 'iy5071cs', 4, 24, 5, 20243);

INSERT INTO Student_Schedule VALUES(39, 'iy5071cs', 4, 81, 4, 20245);
INSERT INTO Student_Schedule VALUES(40, 'iy5071cs', 4, 82, 8, 20245);
INSERT INTO Student_Schedule VALUES(41, 'iy5071cs', 4, 24, 5, 20245);
